GEOID,NAME,variable,estimate,moe,total
28537,ZCTA5 28537,income,90,58,0
28538,ZCTA5 28538,income,2008,471,0
28539,ZCTA5 28539,income,16509,1141,237.5
28540,ZCTA5 28540,income,49144,2003,0
28543,ZCTA5 28543,income,5180,434,0
28544,ZCTA5 28544,income,5917,726,0
28546,ZCTA5 28546,income,46435,2109,1099.25
28547,ZCTA5 28547,income,25354,1297,0
28551,ZCTA5 28551,income,14684,1163,0
28552,ZCTA5 28552,income,169,128,0
28553,ZCTA5 28553,income,402,186,0
28554,ZCTA5 28554,income,205,108,0
28555,ZCTA5 28555,income,4571,613,0
28556,ZCTA5 28556,income,1013,245,0
28557,ZCTA5 28557,income,15298,500,2100
28560,ZCTA5 28560,income,27458,1259,1306.25
28562,ZCTA5 28562,income,38317,1191,350
28570,ZCTA5 28570,income,21402,764,3400
28571,ZCTA5 28571,income,2474,246,290
28572,ZCTA5 28572,income,6866,902,0
28573,ZCTA5 28573,income,1770,306,0
28574,ZCTA5 28574,income,18448,1319,750
28575,ZCTA5 28575,income,481,125,0
28577,ZCTA5 28577,income,333,89,0
28578,ZCTA5 28578,income,7504,1191,0
28579,ZCTA5 28579,income,639,266,0
28580,ZCTA5 28580,income,13010,578,0
28581,ZCTA5 28581,income,361,222,0
28582,ZCTA5 28582,income,2507,522,0
28583,ZCTA5 28583,income,313,98,0
28584,ZCTA5 28584,income,12536,708,2385
28585,ZCTA5 28585,income,3958,369,0
28586,ZCTA5 28586,income,7808,800,0
28587,ZCTA5 28587,income,263,96,0
28589,ZCTA5 28589,income,131,100,0
28590,ZCTA5 28590,income,25032,1306,0
28594,ZCTA5 28594,income,3702,30,852.5
28601,ZCTA5 28601,income,51401,1536,8362.5
28602,ZCTA5 28602,income,28902,1222,1575
28604,ZCTA5 28604,income,7227,643,22.619999999999997
28605,ZCTA5 28605,income,3312,531,7100
28606,ZCTA5 28606,income,1497,363,0
28607,ZCTA5 28607,income,36550,792,5950
28609,ZCTA5 28609,income,5615,591,2.5
28610,ZCTA5 28610,income,10639,846,0
28611,ZCTA5 28611,income,1131,399,0
28612,ZCTA5 28612,income,12314,927,200
28613,ZCTA5 28613,income,23353,1101,550
28615,ZCTA5 28615,income,1811,281,0
28616,ZCTA5 28616,income,166,76,0
28617,ZCTA5 28617,income,1924,408,0
28618,ZCTA5 28618,income,2561,309,0
28619,ZCTA5 28619,income,1593,351,0
28621,ZCTA5 28621,income,10637,921,500
28622,ZCTA5 28622,income,2189,394,0
28623,ZCTA5 28623,income,1540,299,0
28624,ZCTA5 28624,income,1499,452,0
28625,ZCTA5 28625,income,39559,1157,1447.6
28626,ZCTA5 28626,income,2693,474,0
28627,ZCTA5 28627,income,1020,222,0
28628,ZCTA5 28628,income,476,153,0
28629,ZCTA5 28629,income,0,12,0
28630,ZCTA5 28630,income,20262,1009,0
28631,ZCTA5 28631,income,758,274,350
28634,ZCTA5 28634,income,4852,737,0
28635,ZCTA5 28635,income,3055,602,300
28636,ZCTA5 28636,income,4901,635,0
28637,ZCTA5 28637,income,1692,303,0
28638,ZCTA5 28638,income,12277,845,0
28640,ZCTA5 28640,income,4985,692,0
28642,ZCTA5 28642,income,5881,508,0
28643,ZCTA5 28643,income,3842,603,0
28644,ZCTA5 28644,income,1147,331,0
28645,ZCTA5 28645,income,46232,1075,3500
28646,ZCTA5 28646,income,310,126,0
28647,ZCTA5 28647,income,16,25,0
28649,ZCTA5 28649,income,868,409,0
28650,ZCTA5 28650,income,10955,782,25
28651,ZCTA5 28651,income,6820,729,0
28652,ZCTA5 28652,income,0,12,0
28654,ZCTA5 28654,income,3268,649,0
28655,ZCTA5 28655,income,55009,1052,970.75
28657,ZCTA5 28657,income,8651,744,0
28658,ZCTA5 28658,income,27688,1223,8.75
28659,ZCTA5 28659,income,21457,1225,500
28660,ZCTA5 28660,income,2210,493,0
28662,ZCTA5 28662,income,193,120,0
28663,ZCTA5 28663,income,616,183,0
28665,ZCTA5 28665,income,2376,480,4.5
28666,ZCTA5 28666,income,138,128,0
28667,ZCTA5 28667,income,360,132,0
28668,ZCTA5 28668,income,481,244,250
28669,ZCTA5 28669,income,2623,567,0
28670,ZCTA5 28670,income,3649,885,0
28671,ZCTA5 28671,income,545,177,0
28672,ZCTA5 28672,income,15,23,0
28673,ZCTA5 28673,income,6221,712,2.5
28675,ZCTA5 28675,income,6707,363,125
28676,ZCTA5 28676,income,3788,526,0
28677,ZCTA5 28677,income,34703,1101,0
28678,ZCTA5 28678,income,5676,814,0
28679,ZCTA5 28679,income,1609,282,40
28681,ZCTA5 28681,income,26448,848,500
28682,ZCTA5 28682,income,1474,443,2.5
28683,ZCTA5 28683,income,1232,262,285
28684,ZCTA5 28684,income,2038,389,0
28685,ZCTA5 28685,income,1854,383,0
28689,ZCTA5 28689,income,2586,629,0
28690,ZCTA5 28690,income,9189,725,1229.5
28692,ZCTA5 28692,income,4070,574,750
28693,ZCTA5 28693,income,1690,317,0
28694,ZCTA5 28694,income,7719,643,0
28697,ZCTA5 28697,income,13833,1050,1764.75
28698,ZCTA5 28698,income,2312,386,0
28701,ZCTA5 28701,income,3240,521,0
28702,ZCTA5 28702,income,456,147,0
28704,ZCTA5 28704,income,19261,1323,802.5
28705,ZCTA5 28705,income,6870,435,0
28707,ZCTA5 28707,income,201,104,0
28708,ZCTA5 28708,income,318,212,0
28709,ZCTA5 28709,income,2470,473,0
28711,ZCTA5 28711,income,13269,518,1100
28712,ZCTA5 28712,income,19847,794,5399.45
28713,ZCTA5 28713,income,8799,386,250
28714,ZCTA5 28714,income,16941,229,1.25
28715,ZCTA5 28715,income,26476,1295,1200
28716,ZCTA5 28716,income,17770,791,0
28717,ZCTA5 28717,income,1948,423,0
28718,ZCTA5 28718,income,379,146,0
28719,ZCTA5 28719,income,7674,498,0
28720,ZCTA5 28720,income,177,79,0
28721,ZCTA5 28721,income,10401,668,62.5
28722,ZCTA5 28722,income,6537,504,2.5
28723,ZCTA5 28723,income,10918,765,210
28725,ZCTA5 28725,income,26,30,250
28726,ZCTA5 28726,income,3701,874,0
28729,ZCTA5 28729,income,3114,522,75
28730,ZCTA5 28730,income,9221,890,1752.5
28731,ZCTA5 28731,income,8368,872,3.75
28732,ZCTA5 28732,income,18107,877,3400
28733,ZCTA5 28733,income,27,24,0
28734,ZCTA5 28734,income,27887,759,5575
28735,ZCTA5 28735,income,303,133,0
28736,ZCTA5 28736,income,782,288,0
28739,ZCTA5 28739,income,21492,908,1256.25
28740,ZCTA5 28740,income,849,212,0
28741,ZCTA5 28741,income,3672,349,400
28742,ZCTA5 28742,income,3155,543,0
28743,ZCTA5 28743,income,1997,312,0
28745,ZCTA5 28745,income,417,182,0
28746,ZCTA5 28746,income,2420,291,0
28747,ZCTA5 28747,income,2297,367,0
28748,ZCTA5 28748,income,12606,1020,1350
28749,ZCTA5 28749,income,138,149,0
28751,ZCTA5 28751,income,3473,330,150
28752,ZCTA5 28752,income,30924,1064,1000
28753,ZCTA5 28753,income,9671,798,4891.25
28754,ZCTA5 28754,income,10290,685,650
28756,ZCTA5 28756,income,4388,479,0
28757,ZCTA5 28757,income,100,60,0
28759,ZCTA5 28759,income,7456,284,2100
28761,ZCTA5 28761,income,7194,747,0
28762,ZCTA5 28762,income,7054,572,0
28763,ZCTA5 28763,income,2419,632,0
28766,ZCTA5 28766,income,1331,291,0
28768,ZCTA5 28768,income,7504,683,100
28771,ZCTA5 28771,income,8069,140,5500
28772,ZCTA5 28772,income,1149,340,0
28773,ZCTA5 28773,income,2973,392,100
28774,ZCTA5 28774,income,924,234,0
28775,ZCTA5 28775,income,304,184,0
28777,ZCTA5 28777,income,10717,712,0
28778,ZCTA5 28778,income,9584,859,2103
28779,ZCTA5 28779,income,18477,959,343.75
28781,ZCTA5 28781,income,781,210,0
28782,ZCTA5 28782,income,6852,449,0
28783,ZCTA5 28783,income,1858,406,0
28785,ZCTA5 28785,income,7953,664,0
28786,ZCTA5 28786,income,21004,655,12865
28787,ZCTA5 28787,income,21533,1020,2960
28789,ZCTA5 28789,income,5779,848,301
28790,ZCTA5 28790,income,3295,397,0
28791,ZCTA5 28791,income,15528,1126,2102.5
28792,ZCTA5 28792,income,34703,1521,500
28801,ZCTA5 28801,income,13790,688,40215
28803,ZCTA5 28803,income,34491,1370,20421.5
28804,ZCTA5 28804,income,22511,902,37610.5
28805,ZCTA5 28805,income,19952,910,1354.5
28806,ZCTA5 28806,income,43597,1463,9579.67
28901,ZCTA5 28901,income,4927,479,0
28902,ZCTA5 28902,income,1419,410,10032.5
28904,ZCTA5 28904,income,8969,395,0
28905,ZCTA5 28905,income,2863,536,0
28906,ZCTA5 28906,income,19701,736,399.25
28909,ZCTA5 28909,income,993,310,0
